Total	Correct	Uncorrect
719	305	414
Line	Prediction	Answer
0	False	y
1	False	y
2	False	y
3	False	y
4	True	y
5	False	y
6	False	y
7	False	n
8	False	y
9	False	n
10	False	y
11	False	y
12	False	y
13	False	y
14	False	n
15	False	y
16	False	y
17	False	y
18	False	y
19	False	y
20	False	n
21	False	n
22	False	y
23	False	n
24	False	y
25	False	y
26	False	n
27	False	y
28	False	y
29	False	n
30	False	y
31	False	y
32	False	n
33	False	y
34	False	y
35	False	y
36	False	y
37	False	y
38	False	y
39	True	n
40	True	n
41	False	n
42	False	n
43	False	n
44	False	y
45	False	y
46	False	y
47	False	y
48	False	n
49	False	n
50	True	n
51	False	n
52	False	y
53	False	y
54	False	n
55	False	y
56	False	y
57	False	y
58	False	y
59	False	y
60	False	y
61	False	y
62	False	n
63	False	y
64	False	y
65	False	n
66	False	y
67	True	n
68	True	n
69	False	n
70	False	n
71	False	y
72	True	n
73	True	n
74	False	n
75	False	y
76	False	n
77	False	y
78	False	y
79	False	n
80	False	y
81	False	y
82	False	y
83	False	y
84	False	y
85	False	n
86	False	y
87	False	y
88	False	y
89	False	y
90	False	y
91	False	y
92	False	y
93	False	s
94	False	y
95	False	n
96	False	y
97	False	y
98	False	y
99	False	n
100	False	y
101	True	n
102	False	y
103	True	y
104	False	n
105	False	y
106	False	y
107	False	y
108	True	n
109	True	s
110	False	n
111	False	n
112	False	n
113	False	n
114	False	y
115	True	y
116	True	y
117	False	y
118	False	y
119	False	n
120	False	n
121	False	y
122	False	n
123	True	y
124	False	n
125	False	n
126	False	s
127	False	n
128	False	n
129	False	y
130	False	y
131	False	y
132	False	y
133	False	n
134	False	n
135	False	n
136	False	n
137	False	y
138	True	n
139	True	n
140	False	n
141	False	n
142	False	n
143	False	y
144	False	n
145	False	y
146	False	n
147	False	n
148	False	y
149	False	n
150	False	y
151	False	n
152	False	y
153	False	n
154	False	n
155	False	n
156	False	n
157	False	n
158	False	y
159	False	y
160	False	n
161	False	n
162	False	n
163	False	y
164	False	y
165	False	y
166	False	n
167	False	y
168	False	y
169	False	n
170	False	y
171	True	n
172	False	y
173	False	n
174	False	n
175	False	n
176	False	n
177	True	y
178	True	s
179	False	s
180	False	n
181	False	n
182	False	y
183	False	n
184	False	n
185	False	y
186	False	n
187	False	n
188	False	y
189	False	n
190	False	n
191	True	n
192	False	n
193	True	y
194	False	n
195	False	n
196	False	n
197	False	n
198	False	y
199	False	n
200	False	n
201	True	n
202	False	n
203	False	y
204	False	n
205	False	s
206	True	n
207	False	n
208	False	y
209	False	n
210	False	y
211	False	n
212	False	y
213	False	n
214	False	y
215	False	n
216	True	n
217	False	n
218	False	y
219	False	y
220	False	y
221	False	y
222	False	n
223	False	y
224	False	n
225	False	y
226	False	y
227	False	n
228	False	y
229	False	y
230	False	s
231	False	y
232	False	n
233	False	n
234	False	y
235	True	n
236	False	y
237	False	n
238	False	y
239	True	y
240	False	y
241	False	n
242	False	n
243	False	y
244	False	y
245	False	y
246	False	y
247	False	y
248	False	n
249	False	n
250	False	n
251	False	n
252	False	y
253	False	n
254	False	n
255	False	n
256	False	y
257	False	y
258	False	y
259	False	y
260	False	n
261	True	y
262	False	n
263	False	n
264	True	y
265	False	y
266	False	y
267	False	n
268	False	n
269	True	y
270	True	y
271	False	s
272	True	n
273	False	n
274	False	y
275	False	n
276	False	y
277	False	n
278	True	n
279	False	y
280	False	n
281	False	y
282	False	y
283	True	n
284	True	n
285	True	n
286	False	n
287	False	y
288	False	y
289	False	y
290	False	y
291	False	n
292	False	y
293	True	y
294	False	n
295	False	y
296	False	y
297	False	y
298	False	n
299	False	n
300	False	y
301	False	y
302	True	n
303	False	y
304	False	y
305	False	n
306	False	y
307	False	y
308	False	y
309	False	n
310	False	n
311	True	n
312	False	y
313	False	n
314	False	n
315	False	n
316	False	y
317	False	n
318	False	n
319	False	n
320	False	n
321	True	n
322	True	n
323	False	n
324	False	n
325	False	n
326	False	y
327	False	n
328	False	n
329	False	y
330	False	n
331	False	y
332	False	y
333	False	y
334	False	y
335	False	y
336	False	n
337	True	s
338	True	s
339	False	y
340	True	y
341	False	y
342	False	y
343	False	y
344	False	y
345	False	y
346	False	y
347	False	n
348	False	y
349	False	y
350	False	n
351	True	y
352	False	n
353	True	n
354	True	n
355	False	y
356	False	y
357	False	y
358	False	n
359	False	n
360	False	s
361	False	n
362	False	n
363	False	n
364	False	y
365	False	n
366	False	y
367	False	n
368	False	y
369	False	y
370	True	y
371	True	y
372	True	y
373	True	y
374	False	y
375	True	s
376	True	y
377	False	y
378	False	y
379	False	y
380	False	y
381	False	y
382	False	n
383	False	n
384	True	y
385	True	y
386	False	n
387	False	n
388	False	n
389	False	n
390	False	n
391	False	y
392	False	y
393	False	y
394	False	y
395	True	y
396	False	y
397	False	y
398	False	y
399	True	n
400	True	n
401	True	n
402	False	y
403	False	n
404	False	n
405	False	y
406	False	y
407	False	y
408	False	n
409	False	n
410	False	y
411	False	y
412	False	y
413	False	y
414	False	y
415	False	y
416	False	y
417	False	n
418	False	n
